fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancia_promedio	tiempo_promedio	ganancias			
20160919 033454	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	600	20	0	18.90474	0	0	0	
20160919 033522	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	250	5	0	7.905586	0	0	0	
20160919 033605	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	250	10	0	13.27497	0	0	0	
20160919 033658	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	250	15	0	16.60842	0	0	0	
20160919 033825	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	250	20	0	27.68955	0	0	0	
20160919 033852	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	100	5	0	7.861582	0	0	0	
20160919 033949	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	100	10	0	17.75855	0	0	0	
20160919 034044	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	100	15	0	17.3131	0	0	0	
20160919 034146	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	500	100	20	0	19.39876	0	0	0	
20160919 034213	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	500	5	0	7.973212	0	0	0	
20160919 034313	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	500	10	0	18.70821	0	0	0	
20160919 034426	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	500	15	0	22.66051	0	0	0	
20160919 034518	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	500	20	0	16.28568	0	0	0	
20160919 034544	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	200	5	0	7.724835	0	0	0	
20160919 034642	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	200	10	0	17.693	0	0	0	
20160919 034806	binaria1	rpart	0.0001	20	10	20	990555.6	369.8281	1101667	1051667	818333.3	
20160919 034806	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	200	15	0	26.28159	0	0	0	
20160919 034829	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	4	20	1090556	392.5398	959166.7	1193333	1119167	
20160919 034944	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	200	20	0	31.2229	0	0	0	
20160919 035029	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	1500	5	0	13.4436	0	0	0	
20160919 035140	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	1500	10	0	21.95302	0	0	0	
20160919 035210	binaria1	rpart	0.0001	20	4	5	962777.8	79.79593	836666.7	1146667	905000	
20160919 035216	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	50	25	5	1056111	74.29475	1105833	1134167	928333.3	
20160919 035256	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	1500	15	0	23.62535	0	0	0	
20160919 035412	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	1500	20	0	23.84177	0	0	0	
20160919 035459	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	600	5	0	13.92122	0	0	0	
20160919 035615	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	600	10	0	23.5941	0	0	0	
20160919 035727	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	600	15	0	22.51569	0	0	0	
